;ep;fr;flow
419;3.0;420.0;-20.752668380737305
420;3.0;421.0;-21.842044830322266
421;3.0;422.0;-21.959428787231445
422;3.0;423.0;-22.060808181762695
423;3.0;424.0;-22.36531639099121
424;3.0;425.0;-21.18856430053711
425;3.0;426.0;-20.84942054748535
426;3.0;427.0;-21.214488983154297
427;3.0;428.0;-21.266878128051758
428;3.0;429.0;-22.176748275756836
429;3.0;430.0;-21.631614685058594
430;3.0;431.0;-21.453460693359375
431;3.0;432.0;-20.939470291137695
432;3.0;433.0;-21.35618782043457
433;3.0;434.0;-20.9089412689209
434;3.0;435.0;-20.617069244384766
435;3.0;436.0;-20.5435733795166
436;3.0;437.0;-18.77984619140625
437;3.0;438.0;-18.36641502380371
438;3.0;439.0;-18.60023307800293
439;3.0;440.0;-18.411563873291016
440;3.0;441.0;-20.011444091796875
441;3.0;442.0;-20.408422470092773
442;3.0;443.0;-20.418663024902344
443;3.0;444.0;-20.076536178588867
444;3.0;445.0;-19.96009635925293
445;3.0;446.0;-19.651334762573242
446;3.0;447.0;-20.08877944946289
447;3.0;448.0;-20.181236267089844
448;3.0;449.0;-19.505353927612305
449;3.0;450.0;-20.219812393188477
450;3.0;451.0;-20.383527755737305
451;3.0;452.0;-19.674287796020508
452;3.0;453.0;-19.17486000061035
453;3.0;454.0;-19.60494041442871
454;3.0;455.0;-18.807186126708984
455;3.0;456.0;-19.68559455871582
456;3.0;457.0;-18.42391014099121
457;3.0;458.0;-19.12192153930664
458;3.0;459.0;-18.869159698486328
459;3.0;460.0;-17.16358184814453
460;3.0;461.0;-18.4045467376709
461;3.0;462.0;-18.754850387573242
462;3.0;463.0;-15.729570388793945
463;3.0;464.0;-17.4633731842041
464;3.0;465.0;-17.388015747070312
465;3.0;466.0;-17.550357818603516
466;3.0;467.0;-18.701309204101562
467;3.0;468.0;-17.914140701293945
468;3.0;469.0;-17.223356246948242
469;3.0;470.0;-17.977602005004883
470;3.0;471.0;-17.022205352783203
471;3.0;472.0;-16.30326271057129
472;3.0;473.0;-16.35116958618164
473;3.0;474.0;-17.02251434326172
474;3.0;475.0;-15.366129875183105
475;3.0;476.0;-14.98787784576416
476;3.0;477.0;-15.719247817993164
477;3.0;478.0;-14.517011642456055
478;3.0;479.0;-15.91690731048584
479;3.0;480.0;-14.676637649536133
480;3.0;481.0;-16.02182960510254
481;3.0;482.0;-13.381924629211426
482;3.0;483.0;-13.932412147521973
483;3.0;484.0;-13.21593952178955
484;3.0;485.0;-13.65551471710205
485;3.0;486.0;-13.087492942810059
486;3.0;487.0;-13.38051986694336
487;3.0;488.0;-13.200543403625488
488;3.0;489.0;-12.68984603881836
489;3.0;490.0;-13.706422805786133
490;3.0;491.0;-12.939613342285156
491;3.0;492.0;-13.287353515625
492;3.0;493.0;-13.088191986083984
493;3.0;494.0;-11.83708667755127
494;3.0;495.0;-12.815303802490234
495;3.0;496.0;-12.001662254333496
496;3.0;497.0;-11.731893539428711
497;3.0;498.0;-11.514089584350586
498;3.0;499.0;-12.520962715148926
499;3.0;500.0;-12.051785469055176
500;3.0;501.0;-11.477930068969727
501;3.0;502.0;-11.510539054870605
502;3.0;503.0;-11.082988739013672
503;3.0;504.0;-10.821208953857422
504;3.0;505.0;-10.377593040466309
505;3.0;506.0;-10.880311965942383
506;3.0;507.0;-10.729561805725098
507;3.0;508.0;-11.000965118408203
508;3.0;509.0;-10.766929626464844
509;3.0;510.0;-10.511240005493164
510;3.0;511.0;-9.838541984558105
511;3.0;512.0;-9.457029342651367
512;3.0;513.0;-10.304752349853516
513;3.0;514.0;-9.926133155822754
514;3.0;515.0;-9.759830474853516
515;3.0;516.0;-9.295388221740723
516;3.0;517.0;-9.01323127746582
517;3.0;518.0;-8.524150848388672
518;3.0;519.0;-8.553926467895508
519;3.0;520.0;-8.22558307647705
520;3.0;521.0;-8.121041297912598
521;3.0;522.0;-8.362220764160156
522;3.0;523.0;-8.560617446899414
523;3.0;524.0;-7.528142929077148
524;3.0;525.0;-8.032506942749023
525;3.0;526.0;-8.212215423583984
526;3.0;527.0;-7.974222183227539
527;3.0;528.0;-7.512134552001953
528;3.0;529.0;-7.486010551452637
529;3.0;530.0;-7.38472318649292
530;3.0;531.0;-8.254963874816895
531;3.0;532.0;-7.346302032470703
532;3.0;533.0;-6.457694053649902
533;3.0;534.0;-7.426612377166748
534;3.0;535.0;-8.319433212280273
535;3.0;536.0;-9.168784141540527
536;3.0;537.0;-8.8967866897583
537;3.0;538.0;-9.02343463897705
538;3.0;539.0;-9.777926445007324
539;3.0;540.0;-9.504231452941895
540;3.0;541.0;-9.270954132080078
541;3.0;542.0;-9.248247146606445
542;3.0;543.0;-9.267354965209961
543;3.0;544.0;-7.973381996154785
544;3.0;545.0;-8.377821922302246
545;3.0;546.0;-10.196648597717285
546;3.0;547.0;-10.456121444702148
547;3.0;548.0;-10.780760765075684
548;3.0;549.0;-11.129778861999512
549;3.0;550.0;-11.945950508117676
550;3.0;551.0;-12.134252548217773
551;3.0;552.0;-11.496880531311035
552;3.0;553.0;-11.34558391571045
553;3.0;554.0;-11.133504867553711
554;3.0;555.0;-11.994149208068848
555;3.0;556.0;-11.574308395385742
556;3.0;557.0;-11.093474388122559
557;3.0;558.0;-11.510647773742676
558;3.0;559.0;-11.880278587341309
559;3.0;560.0;-11.504125595092773
560;3.0;561.0;-11.86772346496582
561;3.0;562.0;-12.564623832702637
562;3.0;563.0;-11.89090347290039
563;3.0;564.0;-12.335002899169922
564;3.0;565.0;-12.08958625793457
565;3.0;566.0;-11.73237419128418
566;3.0;567.0;-11.081979751586914
567;3.0;568.0;-11.401209831237793
568;3.0;569.0;-11.769036293029785
569;3.0;570.0;-12.7221040725708
570;3.0;571.0;-11.788473129272461
571;3.0;572.0;-12.004176139831543
572;3.0;573.0;-12.580738067626953
573;3.0;574.0;-12.444756507873535
574;3.0;575.0;-11.642349243164062
575;3.0;576.0;-10.595294952392578
576;3.0;577.0;-10.991204261779785
577;3.0;578.0;-10.193284034729004
578;3.0;579.0;-9.065495491027832
579;3.0;580.0;-10.475211143493652
580;3.0;581.0;-9.416048049926758
581;3.0;582.0;-11.820021629333496
582;3.0;583.0;-11.972573280334473
583;3.0;584.0;-12.295519828796387
584;3.0;585.0;-12.024627685546875
585;3.0;586.0;-13.108338356018066
586;3.0;587.0;-11.430432319641113
587;3.0;588.0;-11.700798034667969
588;3.0;589.0;-11.978802680969238
589;3.0;590.0;-11.100638389587402
590;3.0;591.0;-11.658265113830566
591;3.0;592.0;-10.066431045532227
592;3.0;593.0;-10.948149681091309
593;3.0;594.0;-11.270099639892578
594;3.0;595.0;-11.408561706542969
595;3.0;596.0;-10.381658554077148
596;3.0;597.0;-10.759069442749023
597;3.0;598.0;-10.37562084197998
598;3.0;599.0;-11.616657257080078
599;3.0;600.0;-12.221962928771973
600;3.0;601.0;-11.308518409729004
601;3.0;602.0;-11.010619163513184
602;3.0;603.0;-11.080366134643555
603;3.0;604.0;-11.8774995803833
604;3.0;605.0;-11.118494033813477
605;3.0;606.0;-12.312307357788086
606;3.0;607.0;-11.684446334838867
607;3.0;608.0;-11.15462589263916
608;3.0;609.0;-12.976433753967285
609;3.0;610.0;-12.0252046585083
610;3.0;611.0;-12.161561012268066
611;3.0;612.0;-11.698780059814453
612;3.0;613.0;-12.081917762756348
613;3.0;614.0;-10.893305778503418
614;3.0;615.0;-12.864269256591797
615;3.0;616.0;-11.11396312713623
616;3.0;617.0;-12.961994171142578
617;3.0;618.0;-13.70356273651123
618;3.0;619.0;-13.283119201660156
619;3.0;620.0;-13.627477645874023
620;3.0;621.0;-12.938105583190918
621;3.0;622.0;-13.05419635772705
622;3.0;623.0;-13.689865112304688
623;3.0;624.0;-12.600367546081543
624;3.0;625.0;-13.24727725982666
625;3.0;626.0;-14.772415161132812
626;3.0;627.0;-12.981757164001465
627;3.0;628.0;-13.933115005493164
628;3.0;629.0;-14.195904731750488
629;3.0;630.0;-13.448095321655273
630;3.0;631.0;-14.533940315246582
631;3.0;632.0;-13.122651100158691
632;3.0;633.0;-14.18957805633545
633;3.0;634.0;-14.652488708496094
634;3.0;635.0;-14.42000675201416
635;3.0;636.0;-15.19261360168457
636;3.0;637.0;-13.488382339477539
637;3.0;638.0;-12.849750518798828
638;3.0;639.0;-14.66283893585205
639;3.0;640.0;-13.660547256469727
640;3.0;641.0;-14.804058074951172
641;3.0;642.0;-14.906878471374512
642;3.0;643.0;-14.65980339050293
643;3.0;644.0;-14.801746368408203
644;3.0;645.0;-14.241202354431152
645;3.0;646.0;-13.384202003479004
646;3.0;647.0;-14.006855010986328
647;3.0;648.0;-12.969440460205078
648;3.0;649.0;-13.791570663452148
649;3.0;650.0;-12.206841468811035
650;3.0;651.0;-13.064568519592285
651;3.0;652.0;-13.146429061889648
652;3.0;653.0;-13.026308059692383
653;3.0;654.0;-13.27001953125
654;3.0;655.0;-14.0443115234375
655;3.0;656.0;-12.497454643249512
656;3.0;657.0;-14.028559684753418
657;3.0;658.0;-13.39966106414795
658;3.0;659.0;-13.253874778747559
659;3.0;660.0;-13.278120994567871
660;3.0;661.0;-12.645647048950195
661;3.0;662.0;-12.910715103149414
662;3.0;663.0;-12.435704231262207
663;3.0;664.0;-12.498210906982422
664;3.0;665.0;-12.225592613220215
665;3.0;666.0;-12.824365615844727
666;3.0;667.0;-11.7769193649292
667;3.0;668.0;-12.388832092285156
668;3.0;669.0;-11.43071174621582
669;3.0;670.0;-12.092296600341797
670;3.0;671.0;-12.747353553771973
671;3.0;672.0;-13.334829330444336
672;3.0;673.0;-11.317838668823242
673;3.0;674.0;-13.551193237304688
674;3.0;675.0;-11.94189453125
675;3.0;676.0;-10.937030792236328
676;3.0;677.0;-12.131209373474121
677;3.0;678.0;-11.40368938446045
678;3.0;679.0;-12.97275447845459
679;3.0;680.0;-12.46284294128418
680;3.0;681.0;-12.70942497253418
681;3.0;682.0;-11.871878623962402
682;3.0;683.0;-13.136123657226562
683;3.0;684.0;-12.412261009216309
684;3.0;685.0;-11.660588264465332
685;3.0;686.0;-12.041239738464355
686;3.0;687.0;-10.716958045959473
687;3.0;688.0;-11.342415809631348
688;3.0;689.0;-9.379125595092773
689;3.0;690.0;-9.008027076721191
690;3.0;691.0;-10.59106731414795
691;3.0;692.0;-10.830391883850098
692;3.0;693.0;-11.59484577178955
693;3.0;694.0;-10.601366996765137
694;3.0;695.0;-11.038005828857422
695;3.0;696.0;-10.220349311828613
696;3.0;697.0;-10.203998565673828
697;3.0;698.0;-10.70471477508545
698;3.0;699.0;-10.118003845214844
699;3.0;700.0;-9.622840881347656
700;3.0;701.0;-9.714119911193848
701;3.0;702.0;-10.277351379394531
702;3.0;703.0;-9.505440711975098
703;3.0;704.0;-8.173196792602539
704;3.0;705.0;-8.51916790008545
705;3.0;706.0;-7.96781587600708
706;3.0;707.0;-7.901410102844238
707;3.0;708.0;-9.490400314331055
708;3.0;709.0;-8.707223892211914
709;3.0;710.0;-8.897849082946777
710;3.0;711.0;-8.171981811523438
711;3.0;712.0;-8.023176193237305
712;3.0;713.0;-8.083904266357422
713;3.0;714.0;-8.632022857666016
714;3.0;715.0;-9.004816055297852
715;3.0;716.0;-8.483905792236328
716;3.0;717.0;-8.336755752563477
717;3.0;718.0;-8.380395889282227
718;3.0;719.0;-7.753925800323486
719;3.0;720.0;-8.098087310791016
720;3.0;721.0;-8.000774383544922
721;3.0;722.0;-7.551730155944824
722;3.0;723.0;-7.812740802764893
723;3.0;724.0;-6.6034255027771
724;3.0;725.0;-5.806950092315674
725;3.0;726.0;-5.296103477478027
726;3.0;727.0;-6.192094802856445
